voltage	series1	series2	series3	
-0.1	-0.00933952	-0.02873513	-0.0261044
-0.07	-0.006094745	-0.01916758	-0.01740267
-0.04	-0.003376172	-0.01083425	-0.009879362
-0.01	-0.0008598564	-0.002773424	-0.002484984
0.02	0.001814497	0.005875096	0.005263366
0.05	0.004413278	0.01462578	0.01310493
0.08	0.007247995	0.02418243	0.02156526
0.11	0.01040163	0.03498466	0.03107196
0.14	0.01381373	0.04697315	0.04162637
0.17	0.01762977	0.06053376	0.05359926
0.2	0.02210703	0.07589078	0.06718926
0.23	0.02712153	0.09328845	0.08268178
0.26	0.03274873	0.112297	0.1003131
0.29	0.03905231	0.1344886	0.1183138
0.32	0.04606787	0.1589693	0.1414223
0.35	0.05383958	0.1858974	0.1666621
0.38	0.06237609	0.2153403	0.1943141
0.41	0.07172934	0.2473523	0.2246178
0.44	0.08185587	0.282009	0.2574392
0.47	0.09279339	0.3191809	0.2929988
0.5	0.1045375	0.3589425	0.3309079
0.53	0.1156377	0.4011261	0.3713953
0.56	0.1294541	0.4455255	0.4141654
0.59	0.1436999	0.4918795	0.4588912
0.62	0.158394	0.5398387	0.5053101
0.65	0.1733654	0.5887598	0.5529121
0.68	0.1885982	0.6381301	0.601225
0.71	0.2039845	0.6874028	0.6497662
0.74	0.2193382	0.7362411	0.6981661
0.77	0.2348202	0.784166	0.7454998
0.8	0.2505429	0.8309946	0.7912421
0.83	0.266915	0.8775624	0.8371864
0.86	0.2842259	0.9268139	0.8861104
0.89	0.302791	0.9804362	0.9401628
0.92	0.3223397	1.037567	0.996458
0.95	0.3428082	1.094045	1.054784
0.98	0.3643974	1.154908	1.113369
1.01	0.3870304	1.215716	1.173076
1.04	0.41043	1.27867	1.233246
1.07	0.4360088	1.341959	1.294566
1.1	0.461937	1.406755	1.356199
1.13	0.4890867	1.473767	1.419012
1.1	0.4616929	1.416524	1.366061
1.07	0.4359244	1.359898	1.314141
1.04	0.4118748	1.304711	1.261709
1.01	0.3898172	1.250875	1.210338
0.98	0.3695415	1.198923	1.160865
0.95	0.3507738	1.148354	1.112567
0.92	0.3333327	1.099384	1.065872
0.89	0.3169703	1.05237	1.020379
0.86	0.3015606	1.005636	0.9756839
0.83	0.2870882	0.9607916	0.9333098
0.8	0.2732563	0.9169682	0.8917088
0.77	0.2599233	0.8738338	0.8512434
0.74	0.2471957	0.8317819	0.8106337
0.71	0.2346156	0.7898097	0.76944
0.68	0.2221083	0.7475721	0.7285422
0.65	0.2099106	0.7054413	0.6865335
0.62	0.197628	0.6624344	0.6438697
0.59	0.1852354	0.6187764	0.5997755
0.56	0.1725354	0.574269	0.5558951
0.53	0.1596633	0.5298408	0.5120345
0.5	0.1467546	0.4859919	0.4684756
0.47	0.1340576	0.4433549	0.4262436
0.44	0.1215569	0.4016872	0.3853305
0.41	0.1094107	0.3617038	0.3459213
0.38	0.09768285	0.3229376	0.308283
0.35	0.08645936	0.286118	0.2723782
0.32	0.0758228	0.250956	0.2381896
0.29	0.0656695	0.2175989	0.2058443
0.26	0.0560838	0.1860767	0.1755402
0.23	0.04713772	0.1564557	0.1471386
0.2	0.03880234	0.1289473	0.1208261
0.17	0.03109466	0.1034807	0.09663404
0.14	0.02406709	0.08011983	0.0746935
0.11	0.01772101	0.05909661	0.0549282
0.08	0.01199317	0.04011654	0.03714964
0.05	0.006981079	0.02347114	0.02166482
0.02	0.002559811	0.008950929	0.008210558
-0.01	-0.001437028	-0.004321322	-0.003961023
-0.04	-0.004827169	-0.3921577	-0.01402963
-0.07	-0.007833171	-0.6798059	-0.02268327
-0.1	-0.01046084	-0.9692634	-0.0303929
