voltage	series1	series2	series3	
-0.1	-0.03500609	-0.9046184	-0.5711816
-0.07	-0.0302858	-0.6215624	-0.3979237
-0.04	-0.02743693	-0.3477608	-0.2258228
-0.01	-0.02467006	-0.07883217	-0.05647088
0.02	-0.02226152	0.2152423	0.150381
0.05	-0.0201892	0.501689	0.3540248
0.08	-0.01766653	0.7889044	0.5587791
0.11	-0.01448688	1.073504	0.764996
0.14	-0.01077131	1.359871	0.9705913
0.17	-0.006623071	1.641744	1.271429
0.2	-0.001344578	1.92437	1.48362
0.23	0.004498831	2.205384	1.694084
0.26	0.01125178	2.485866	1.888434
0.29	0.01839295	2.747592	2.080975
0.32	0.02639401	3.024887	2.190674
0.35	0.03529533	3.298542	2.26549
0.38	0.04476086	3.576594	2.002268
0.41	0.05496098	3.811872	2.032038
0.44	0.06574752	4.048781	1.941864
0.47	0.0772229	4.16479	1.661946
0.5	0.08920515	3.68982	1.32592
0.53	0.1015245	3.251411	1.320665
0.56	0.1133537	2.984527	1.361722
0.59	0.1261342	2.810329	1.537294
0.62	0.1382619	2.392329	1.670866
0.65	0.1499634	2.051131	1.627875
0.68	0.1618553	1.805617	1.599735
0.71	0.1743362	1.747568	1.618549
0.74	0.188474	1.596308	1.605634
0.77	0.2051117	1.521353	1.626185
0.8	0.2245511	1.556272	1.531112
0.83	0.2468632	1.605807	1.734368
0.86	0.2746267	1.620575	1.674621
0.89	0.3149404	1.658396	1.644346
0.92	0.3751113	1.754424	1.685109
0.95	0.4610214	1.727351	1.742788
0.98	0.5726147	1.814377	1.879126
1.01	0.7083414	1.903028	1.909936
1.04	0.8663224	2.06441	2.078001
1.07	1.045635	2.146114	2.152845
1.1	1.217371	2.224299	2.186529
1.13	1.441794	2.374375	2.286642
1.1	1.338926	2.166993	2.114756
1.07	1.217901	2.000671	1.938302
1.04	1.087813	1.844158	1.798139
1.01	0.958799	1.703901	1.672599
0.98	0.8341802	1.595118	1.565061
0.95	0.7171417	1.473904	1.438912
0.92	0.6093343	1.384437	1.350946
0.89	0.512206	1.301581	1.260935
0.86	0.4270811	1.214521	1.182709
0.83	0.3592298	1.139711	1.117809
0.8	0.3102377	1.09187	1.038137
0.77	0.2762307	1.018063	0.9754144
0.74	0.2509008	0.9432461	0.9139435
0.71	0.2300258	0.890162	0.8581495
0.68	0.2113982	0.8314293	0.8158351
0.65	0.1940979	0.7734569	0.7597503
0.62	0.1778917	0.7299555	0.712554
0.59	0.1626988	0.6851784	0.6702618
0.56	0.1480464	0.6288814	0.6196361
0.53	0.1340569	0.5883342	0.5683075
0.5	0.1205332	0.5316277	0.5275666
0.47	0.1074484	0.498086	0.4868281
0.44	0.0950005	0.4566725	0.4475926
0.41	0.0828806	0.4132419	0.4060173
0.38	0.07127153	0.3739441	0.3680084
0.35	0.0602236	0.3400227	0.331258
0.32	0.04975958	0.2978916	0.2918844
0.29	0.03971544	0.2592293	0.2475916
0.26	0.03032658	0.2213469	0.2146033
0.23	0.02153051	0.1915442	0.1815759
0.2	0.01334915	0.1555015	0.1515756
0.17	0.00594274	0.1253928	0.1221173
0.14	-0.0008460399	0.0948672	0.09308609
0.11	-0.007871909	0.07167453	0.06584791
0.08	-0.01319179	0.04412181	0.03994784
0.05	-0.01762482	0.019652	0.01716879
0.02	-0.02209749	-0.003426845	-0.004885096
-0.01	-0.02615042	-0.05860607	-0.04914053
-0.04	-0.029843	-0.2315243	-0.1306011
-0.07	-0.03396475	-0.4106628	-0.2245147
-0.1	-0.04225803	-0.5883734	-0.3214345
