voltage	series1	series2	series3	
-0.1	-0.0398677	-0.01925615	-0.06300095
-0.0665	-0.02589926	-0.01258228	-0.04134623
-0.0335	-0.01312772	-0.006416245	-0.02113722
0	-6.810202E-05	-4.101787E-05	-8.669709E-05
0.0335	0.01412215	0.006929363	0.0229559
0.0665	0.02871326	0.01375431	0.04701696
0.1	0.04523131	0.02148063	0.07420901
0.1335	0.0633641	0.02984051	0.1042485
0.1665	0.08309448	0.0388503	0.1339036
0.2	0.1059456	0.04901618	0.1736424
0.2335	0.1305279	0.06018312	0.216426
0.2665	0.1576349	0.07245105	0.2636649
0.3	0.1876594	0.08611316	0.3167487
0.3335	0.2204655	0.1012366	0.3757296
0.3665	0.255733	0.1167017	0.4401555
0.4	0.2941925	0.13526	0.5111796
0.4335	0.3352028	0.1553643	0.5886127
0.4665	0.3788988	0.1769061	0.6715551
0.5	0.4253753	0.2003179	0.7611732
0.5335	0.4745217	0.2255164	0.8565961
0.5665	0.5258264	0.2523117	0.9571943
0.6	0.5799272	0.2810135	1.064346
0.6335	0.6362036	0.3112544	1.174694
0.6665	0.6942825	0.3431372	1.289417
0.7	0.7549257	0.3772451	1.409218
0.7335	0.8177907	0.4139182	1.532633
0.7665	0.8827084	0.4547352	1.658522
0.8	0.9520653	0.5019447	1.787815
0.8335	1.024898	0.5545678	1.922781
0.8665	1.099524	0.6067869	2.058326
0.9	1.172771	0.6597051	2.199532
0.9335	1.249337	0.712027	2.341516
0.9665	1.325426	0.7635899	2.481293
1	1.404511	0.8162271	2.624303
1.0335	1.482836	0.8698191	2.7672
1.0665	1.561744	0.9240219	2.907949
1.1	1.641735	0.9834538	3.049981
1.1335	1.724149	1.049775	3.191188
1.1665	1.809485	1.124417	3.330949
1.2	1.89941	1.211877	3.472298
1.1665	1.833817	1.153796	3.37605
1.1335	1.765692	1.095835	3.277341
1.1	1.697257	1.038439	3.173224
1.0665	1.630454	0.9856366	3.068394
1.0335	1.565258	0.936574	2.964393
1	1.500969	0.8910558	2.857352
0.9665	1.437779	0.8482755	2.748155
0.9335	1.376896	0.8096345	2.641069
0.9	1.315624	0.7729873	2.531587
0.8665	1.254126	0.7369819	2.419907
0.8335	1.194878	0.7029782	2.310417
0.8	1.134291	0.6677835	2.197418
0.7665	1.074716	0.6336424	2.084992
0.7335	1.016334	0.6000742	1.974025
0.7	0.9585132	0.566631	1.861929
0.6665	0.9008063	0.5341762	1.750312
0.6335	0.8450103	0.5022945	1.639942
0.6	0.7887666	0.4702403	1.529427
0.5665	0.7329293	0.4381554	1.419646
0.5335	0.6781854	0.4067494	1.311653
0.5	0.623452	0.3750348	1.204267
0.4665	0.5696497	0.3435211	1.098573
0.4335	0.5171376	0.3124864	0.9948699
0.4	0.4651275	0.2820083	0.8935899
0.3665	0.4144163	0.2517998	0.7945543
0.3335	0.3655147	0.2226697	0.6991999
0.3	0.3177496	0.1939881	0.6064107
0.2665	0.2718741	0.1663019	0.5176385
0.2335	0.2284424	0.1400711	0.4337597
0.2	0.1871452	0.1149231	0.3541133
0.1665	0.1479947	0.09101083	0.2792764
0.1335	0.1126782	0.0693947	0.2117851
0.1	0.07971244	0.04920932	0.1493096
0.0665	0.04977136	0.03072683	0.09283021
0.0335	0.0238809	0.01471653	0.04439276
0	0.0003028865	0.0002006178	0.001009354
-0.0335	-0.02054199	-0.01274465	-0.03738651
-0.0665	-0.03701797	-0.02281201	-0.06703463
